"","country","minflu","maxflu","peakflu","troughflu","minT","maxT","peakT","troughT","minRH","maxRH","peakRH","troughRH"
"1","Argentina",1.425e-05,0.00287353846153846,27,52,8.81481481481481,24.3055555555556,1,29,0.547122666666667,0.759409583333333,10,35
"2","Australia",0.000118923076923077,0.00400071428571429,32,14,11.1547619047619,24.468253968254,4,29,0.548059142857143,0.736081857142857,28,1
"3","Austria",0,0.00688325,6,22,-2.71428571428571,20.4652777777778,34,3,0.671085,0.874149555555556,47,20
"4","Belarus",0,0.00338777777777778,7,21,-6.10185185185185,21.4861111111111,28,7,0.5684394,0.907455428571429,47,17
"5","Belgium",0,0.005009,3,20,2.65656565656566,18.5902777777778,31,5,0.661079833333333,0.897542916666667,48,19
"6","Brazil",1.60833333333333e-05,0.000226076923076923,24,52,22.8814102564103,26.8308080808081,6,26,0.654804272727273,0.847890666666667,12,34
"7","Bulgaria",0,0.00182225,8,20,-1.07407407407407,25.2569444444444,32,1,0.57230175,0.859791444444444,47,34
"8","Cambodia",1.15e-05,0.003201,43,15,26.5634920634921,31.3240740740741,16,51,0.620634833333333,0.857515285714286,40,11
"9","Cameroon",0.0001016,0.000975666666666667,48,21,24.0944444444444,28.3111111111111,12,30,0.4277908,0.9421012,30,6
"10","Canada",4.65e-05,0.018475,52,36,-13.4090909090909,17.45,30,4,0.5742129,0.761563230769231,48,19
"11","Chile",2.41666666666667e-05,0.0039675,25,6,8.14880952380952,18.1068376068376,4,30,0.672218846153846,0.856864928571429,26,51
"12","China",7.42142857142857e-05,0.000450166666666667,3,43,-1.53009259259259,25.6157407407407,30,1,0.478152153846154,0.770813166666667,33,13
"13","Colombia",5.86153846153846e-05,0.000306357142857143,23,9,26.0138888888889,26.9662698412698,14,23,0.716525538461538,0.839667285714286,19,8
"14","Costa Rica",0.0002544,0.0039548,8,17,23.8055555555556,26.3388888888889,18,42,0.5968912,0.9100354,42,13
"15","Croatia",0,0.00817175,10,20,3.79976851851852,27,29,4,0.588016909090909,0.812476,39,13
"16","Cuba",0.000207,0.00235,37,52,22.0944444444444,28.1388888888889,32,2,0.6940405,0.8750992,42,11
"17","Czech Republic",0,0.00293918181818182,5,24,-2.38131313131313,18.8888888888889,27,5,0.6517995,0.9116229,48,19
"18","Denmark",0,0.0071505,1,22,0.861111111111111,17.9791666666667,30,4,0.761229333333333,0.902825461538462,44,16
