"","country","minflu","maxflu","peakflu","troughflu","minT","maxT","peakT","troughT","minRH","maxRH","peakRH","troughRH","meanvarflu","meanvartemp","varvarflu","varvartemp","meanmeanflu","minAH","maxAH","peakAH","troughAH","meanAH","meanT"
"1","Argentina",1.425e-05,0.00287353846153846,27,52,8.81481481481481,24.3055555555556,1,29,0.547122666666667,0.759409583333333,10,35,3.37733838761975e-06,4.27359173463941,3.68873874822115e-11,5.04277047715455,0.000796187829798407,5.19923308333333,15.1848485,10,30,9.87356260728854,16.7712507844719
"2","Australia",0.000118923076923077,0.00400071428571429,32,14,11.1547619047619,24.468253968254,4,29,0.548059142857143,0.736081857142857,28,1,3.95349805307193e-06,1.39818905732701,5.08604508288178e-11,0.294943363111056,0.00102079547055509,7.16974342857143,12.9999689285714,8,33,9.57308663163919,17.6139126631915
"3","Austria",0,0.00688325,6,22,-2.71428571428571,20.4652777777778,34,3,0.671085,0.874149555555556,47,20,7.05052768058608e-06,7.92708205556875,2.37023927862336e-10,23.0455075568178,0.00107937138278388,3.17658811111111,13.30699675,34,5,7.31781024171245,8.68718266687017
"4","Belarus",0,0.00338777777777778,7,21,-6.10185185185185,21.4861111111111,28,7,0.5684394,0.907455428571429,47,17,NA,NA,NA,NA,0.00048358575036075,2.64693122222222,14.4362195,28,7,7.06226891646201,7.41464694641778
"5","Belgium",0,0.005009,3,20,2.65656565656566,18.5902777777778,31,5,0.661079833333333,0.897542916666667,48,19,3.00596468266109e-06,7.61033313715605,2.78506664177242e-11,38.6724145231792,0.00100198388764014,5.02309009090909,12.46431025,30,5,7.96798654044289,10.1703048494715
"6","Brazil",1.60833333333333e-05,0.000226076923076923,24,52,22.8814102564103,26.8308080808081,6,26,0.654804272727273,0.847890666666667,12,34,4.53371732101232e-08,0.813156978571642,5.39027443233102e-15,0.286509199013181,9.264064845411e-05,14.355562,21.0447563,10,33,18.1699095885277,25.1349171068722
"7","Bulgaria",0,0.00182225,8,20,-1.07407407407407,25.2569444444444,32,1,0.57230175,0.859791444444444,47,34,7.33658477369159e-07,8.86636953059479,2.83939391523325e-12,78.00415273155,0.000293814168470418,3.70070033333333,15.196383,28,1,8.70090557397117,12.4025113293342
"8","Cambodia",1.15e-05,0.003201,43,15,26.5634920634921,31.3240740740741,16,51,0.620634833333333,0.857515285714286,40,11,1.57850059688645e-06,1.26546463760005,1.55710361086093e-11,1.46953205384149,0.000640635531135531,17.035788,23.5188285714286,36,52,21.2576683690476,28.9937550875051
"9","Cameroon",0.0001016,0.000975666666666667,48,21,24.0944444444444,28.3111111111111,12,30,0.4277908,0.9421012,30,6,1.55423874358974e-07,1.48257631964229,3.48491036199184e-14,1.17270249154379,0.000337503205128205,10.7903274,21.0915612,21,6,17.2938449108974,26.012775997151
"10","Canada",4.65e-05,0.018475,52,36,-13.4090909090909,17.45,30,4,0.5742129,0.761563230769231,48,19,0.000104750838623224,8.93972972500339,5.19208163584815e-08,93.7052623876185,0.00571137644716395,1.39065881818182,10.9183425,29,4,5.17137916847917,3.23301897384429
"11","Chile",2.41666666666667e-05,0.0039675,25,6,8.14880952380952,18.1068376068376,4,30,0.672218846153846,0.856864928571429,26,51,5.50322679931127e-06,1.7884898037993,7.08228385954659e-11,1.24651738553808,0.00123056026185353,6.91042215384615,10.6129966923077,4,29,8.57959336005021,13.0406476313928
"12","China",7.42142857142857e-05,0.000450166666666667,3,43,-1.53009259259259,25.6157407407407,30,1,0.478152153846154,0.770813166666667,33,13,1.15923692851379e-07,2.22413469072624,1.73252131752995e-14,2.4000417256268,0.000213134807500192,2.189722,18.3693793333333,30,1,8.56282640244371,13.2933737603209
"13","Colombia",5.86153846153846e-05,0.000306357142857143,23,9,26.0138888888889,26.9662698412698,14,23,0.716525538461538,0.839667285714286,19,8,3.87469897122109e-08,0.730349238286939,2.27873207304475e-15,0.141160174790995,0.000145487390814314,18.3072388461538,20.8768,46,8,19.5279132458439,26.5942991081212
"14","Costa Rica",0.0002544,0.0039548,8,17,23.8055555555556,26.3388888888889,18,42,0.5968912,0.9100354,42,13,8.6073549224359e-06,0.758935301773843,1.35793696322667e-10,0.424903586611163,0.00184347889194139,14.2402278,20.989088375,35,10,17.7979497363324,25.1794897232397
"15","Croatia",0,0.00817175,10,20,3.79976851851852,27,29,4,0.588016909090909,0.812476,39,13,NA,NA,NA,NA,0.00198047607830204,4.32466676923077,17.013977,29,5,8.91017912468546,13.9266328059998
"16","Cuba",0.000207,0.00235,37,52,22.0944444444444,28.1388888888889,32,2,0.6940405,0.8750992,42,11,2.05213534363553e-06,1.2981307305092,8.53394915636585e-12,2.78906834068803,0.00112369720695971,14.2891136,22.771146,35,10,19.4312668099359,25.5659506003256
"17","Czech Republic",0,0.00293918181818182,5,24,-2.38131313131313,18.8888888888889,27,5,0.6517995,0.9116229,48,19,NA,NA,NA,NA,0.000827178085589624,3.47182918181818,11.917632,27,5,5.92101867415675,5.44921291315522
"18","Denmark",0,0.0071505,1,22,0.861111111111111,17.9791666666667,30,4,0.761229333333333,0.902825461538462,44,16,3.97386473132307e-05,5.16866266884018,6.91619620679675e-09,11.617286073452,0.00146872065295815,4.60196184615385,12.77151725,31,4,7.8377417348694,8.86721983056118
"19","Dominican Republic",0,0.000587375,22,2,24.9253472222222,29.0694444444444,30,1,0.801283625,0.895664375,44,11,1.07337026785714e-07,0.535669505070547,3.52865224812159e-14,0.086010172603151,0.000151375,19.07005775,24.545985,32,10,22.2851457836538,27.1315438034188
"20","Egypt, Arab Rep.",1.25e-05,0.00143591666666667,1,32,13.9336419753086,30.6319444444444,31,2,0.38413925,0.631343416666667,1,22,4.0384339373335e-07,2.26404121507565,2.29449639501737e-12,4.79512608312953,0.000184408037101787,7.0729815,15.20618375,33,5,10.7404844420593,22.8383512321012
