"","country","year","minflu","maxflu","peakflu","troughflu","minT","maxT","peakT","troughT","minRH","maxRH","peakRH","troughRH"
"1","Argentina",1997,0,0.000224,26,17,6.22222222222222,20.0555555555556,51,26,0.600285,0.870037,25,26
"2","Argentina",1998,0,0,2,2,8.94444444444445,23.9722222222222,52,24,0.525314,0.824888,22,49
"3","Argentina",1999,0,0.001725,28,1,5.55555555555556,25.7777777777778,8,29,0.478595,0.872685,17,49
"4","Argentina",2001,0,0.002305,32,1,5.33333333333333,27.1111111111111,1,25,0.574139,0.911397,12,38
"5","Argentina",2002,0,0.00125,25,1,5.38888888888889,25.1388888888889,2,25,0.537725,0.918069,20,38
"6","Argentina",2003,0,0.006669,22,2,5.77777777777778,25.9722222222222,5,28,0.487505,0.91562,17,43
"7","Argentina",2005,0,0.002846,27,1,6.77777777777778,26.6666666666667,1,29,0.437559,0.838934,23,41
"8","Argentina",2006,0,0.001614,35,1,6.27777777777778,24.7777777777778,1,31,0.4276,0.836549,14,37
"9","Argentina",2007,0,0.003841,24,1,3.83333333333333,24.25,2,28,0.43734,0.880044,18,50
"10","Argentina",2008,0,0.002821,30,1,5.13888888888889,26.1666666666667,1,22,0.411381,0.842524,13,35
"11","Argentina",2010,0,0.006917,42,6,4.69444444444445,27,4,31,0.390346,0.90343,8,50
"12","Argentina",2011,0,0.00513,29,11,5.22222222222222,25.6944444444444,4,27,0.373597,0.833018,25,36
"13","Argentina",2012,0,0.006839,37,1,5.88888888888889,26,1,23,0.480786,0.828832,15,1
"14","Argentina",2013,0,0.019836,26,50,5.55555555555556,27.2222222222222,52,29,0.392694,0.801613,18,35
"15","Australia",1996,5.4e-05,5.4e-05,52,52,23.1111111111111,23.1111111111111,52,52,0.527216,0.527216,52,52
"16","Australia",1997,0,0.000864,26,2,9.61111111111111,26.0833333333333,7,28,0.478889,0.792169,21,47
"17","Australia",1998,0,0.003737,32,1,10.1666666666667,25.7222222222222,5,26,0.487189,0.831944,29,4
"18","Australia",1999,0,0.003803,28,2,11.1666666666667,25.5,1,31,0.549052,0.784021,12,3
"19","Australia",2001,0,0.001081,31,2,10.8888888888889,26.1111111111111,4,29,0.516069,0.814364,23,52
"20","Australia",2002,0,0.003202,32,3,10.8333333333333,24.6944444444444,51,26,0.451765,0.728017,21,49
"21","Australia",2003,0,0.005825,31,3,10.3333333333333,24.6111111111111,7,30,0.496648,0.796411,26,3
"22","Australia",2005,0,0.003971,27,2,10.3888888888889,24.5555555555556,4,28,0.486709,0.781484,28,2
"23","Australia",2006,0,0.001447,33,1,9.83333333333334,25.1111111111111,3,24,0.451161,0.749056,30,46
"24","Australia",2007,0,0.007598,33,1,9.55555555555556,24.7777777777778,5,25,0.468389,0.82885,20,42
"25","Australia",2008,0,0.00485,35,2,9.5,24.5555555555556,11,32,0.500837,0.790122,23,11
"26","Australia",2010,0,0.004747,38,4,9.38888888888889,25.6111111111111,2,26,0.473762,0.804998,21,3
"27","Australia",2011,9e-05,0.005989,34,19,10.1944444444444,26.6666666666667,5,28,0.572239,0.781087,29,37
"28","Australia",2012,4.4e-05,0.019353,28,52,9.66666666666667,24.7222222222222,4,27,0.517964,0.80589,28,52
"29","Australia",2013,4.4e-05,0.007009,35,18,10.6944444444444,25.3333333333333,1,25,0.460399,0.811022,28,42
"30","Austria",1997,0,0.004269,8,2,-3.97222222222222,11.7777777777778,40,1,0.680749,0.926868,51,10
"31","Austria",1998,0,0.002132,9,1,-5.43055555555556,14.8333333333333,28,5,0.637414,0.919903,40,10
"32","Austria",1999,0,0.007137,7,4,-4.61111111111111,14.4166666666667,39,7,0.659637,0.900189,40,13
"33","Austria",2001,0,0.005604,5,4,-5.77777777777778,12.8055555555556,40,50,0.736355,0.923738,48,10
"34","Austria",2002,0,0.00409,9,40,-6.69444444444445,8.88888888888889,43,1,0.591258,0.932725,48,14
"35","Austria",2003,0,0.011347,9,1,-9.22222222222222,5.52777777777778,44,2,0.712684,0.91096,4,8
"36","Austria",2010,0,0.001071,52,10,-4.38888888888889,23.5,28,52,0.618925,0.887756,47,10
"37","Austria",2011,0,0.020929,5,16,-4.83333333333333,23.5,34,5,0.562676,0.897413,2,19
"38","Austria",2012,0,0.015386,9,19,-10.75,22.1388888888889,34,6,0.586141,0.930403,51,18
"39","Austria",2013,0,0.020325,6,22,-3.27777777777778,23.1388888888889,31,3,0.59776,0.892807,45,29
"40","Belarus",1997,0,9.9e-05,5,1,-10.1666666666667,1.83333333333333,44,1,0.595082,0.924973,50,12
"41","Belarus",1998,0,0.000297,8,6,-13.7222222222222,11.4444444444444,39,47,0.631143,0.904394,50,13
"42","Belarus",1999,0,0.000697,10,1,-6.22222222222222,15.0555555555556,40,6,0.571519,0.930517,3,17
"43","Belarus",2001,0,0,3,3,-12.4166666666667,7.08333333333333,44,49,0.684457,0.940332,44,43
"44","Belarus",2002,0,0,2,2,-9.41666666666667,6.58333333333333,13,49,0.527691,0.904551,6,11
"45","Belarus",2003,0,0.000305,9,1,-12.0555555555556,0.944444444444446,3,1,0.713327,0.839103,3,5
"46","Belarus",2005,0,0.001343,11,1,-9.61111111111111,11.5833333333333,15,9,0.59432,0.90196,1,15
"47","Belarus",2006,0,0,1,1,-15,10.2777777777778,43,6,0.42649,0.957516,48,17
"48","Belarus",2007,0,0.001463,14,2,-14.4444444444444,8.33333333333333,12,8,0.602812,0.932882,9,14
"49","Belarus",2008,0,0.002101,50,3,-2.44444444444444,7.40277777777778,44,50,0.801627,0.918424,48,9
"50","Belarus",2010,0,0.000844,52,45,-9.27777777777778,7.66666666666667,46,48,0.735534,0.957668,47,40
"51","Belarus",2011,0,0.020676,7,17,-16.1111111111111,22.625,29,7,0.499858,0.936532,50,16
"52","Belarus",2012,0,0.001902,15,1,-19.7222222222222,22.7222222222222,27,5,0.580018,0.972448,48,18
"53","Belarus",2013,0,0.009615,7,1,-13,19.9444444444444,19,4,0.505931,0.963796,47,19
"54","Belgium",1997,0,0.009832,4,11,-6.61111111111111,17.0555555555556,35,1,0.706733,0.91041,5,9
"55","Belgium",1998,0,0.004895,52,2,-2.05555555555556,15.0833333333333,39,47,0.751995,0.934049,48,10
"56","Belgium",1999,0,0.005079,50,11,0.333333333333334,15.6111111111111,39,6,0.725687,0.931838,4,42
"57","Belgium",2001,0,0.002629,3,14,-0.88888888888889,18.4722222222222,19,3,0.561228,0.949792,48,19
"58","Belgium",2002,0,0.016197,2,50,-1.77777777777778,11.1666666666667,14,1,0.491824,0.915025,50,14
"59","Belgium",2003,0,0.008274,48,41,3.5,10.5555555555556,47,43,0.741657,0.934237,50,42
"60","Belgium",2005,0.000956,0.00937,9,12,-2.11111111111111,11.6111111111111,12,9,0.665026,0.883937,1,11
"61","Belgium",2007,0,0.002156,52,35,-1.63888888888889,14.5277777777778,36,51,0.754674,0.953854,48,38
"62","Belgium",2008,0,0.009178,7,4,-1.61111111111111,20.1388888888889,30,52,0.48672,0.899325,45,19
"63","Belgium",2010,0,0.004832,52,10,-3.38888888888889,17.7777777777778,23,1,0.633616,0.943947,50,17
"64","Belgium",2011,0,0.007196,3,12,-2,17.75,31,5,0.480386,0.97031,41,18
"65","Belgium",2012,0,0.008557,5,18,-6.38888888888889,16.6111111111111,21,6,0.615487,0.956452,9,6
"66","Belgium",2013,0,0.009872,5,17,-3.16666666666667,21.3888888888889,30,3,0.592048,0.955648,1,10
"67","Brazil",1997,0,4.8e-05,25,1,22.3611111111111,27.6666666666667,52,32,0.683955,0.892105,11,32
"68","Brazil",1998,0,1.8e-05,6,1,22.5833333333333,28.5,6,24,0.721771,0.882213,3,19
