"","V1","V2","V3"
"1","Argentina","-38.416097","-63.616672"
"2","Australia","-25.274398","133.775136"
"3","Austria","47.516231","14.550072"
"4","Belarus","53.709807","27.953389"
"5","Belgium","50.503887","4.469936"
"6","Brazil","-14.235004","-51.92528"
"7","Bulgaria","42.733883","25.48583"
"8","Cambodia","12.565679","104.990963"
"9","Cameroon","7.369722","12.354722"
"10","Canada","56.130366","-106.346771"
"11","Chile","-35.675147","-71.542969"
"12","China","35.86166","104.195397"
"13","Colombia","4.570868","-74.297333"
"14","Costa Rica","9.748917","-83.753428"
"15","Croatia","45.1","15.2"
"16","Cuba","21.521757","-77.781167"
"17","Czech Republic","49.817492","15.472962"
"18","Denmark","56.26392","9.501785"
"19","Dominican Republic","18.735693","-70.162651"
"20","Egypt, Arab Rep.","26.820553","30.802498"
"21","El Salvador","13.794185","-88.89653"
"22","Estonia","58.595272","25.013607"
"23","Finland","61.92411","25.748151"
"24","France","46.227638","2.213749"
"25","Germany","51.165691","10.451526"
"26","Ghana","7.946527","-1.023194"
"27","Greece","39.074208","21.824312"
"28","Honduras","15.199999","-86.241905"
"29","Iceland","64.963051","-19.020835"
"30","India","20.593684","78.96288"
"31","Indonesia","-0.789275","113.921327"
"32","Ireland","53.41291","-8.24389"
"33","Israel","31.046051","34.851612"
"34","Italy","41.87194","12.56738"
"35","Jamaica","18.109581","-77.297508"
"36","Japan","36.204824","138.252924"
"37","Kazakhstan","48.019573","66.923684"
"38","Kenya","-0.023559","37.906193"
"39","Kyrgyz Republic","41.20438","74.766098"
"40","Latvia","56.879635","24.603189"
"41","Luxembourg","49.815273","6.129583"
"42","Madagascar","-18.766947","46.869107"
"43","Malaysia","4.210484","101.975766"
"44","Mexico","23.634501","-102.552784"
"45","Mongolia","46.862496","103.846656"
"46","Morocco","31.791702","-7.09262"
"47","Netherlands","52.132633","5.291266"
"48","New Caledonia","-20.904305","165.618042"
"49","New Zealand","-40.900557","174.885971"
"50","Niger","17.607789","8.081666"
"51","Norway","60.472024","8.468946"
"52","Oman","21.512583","55.923255"
"53","Pakistan","30.375321","69.345116"
"54","Panama","8.537981","-80.782127"
"55","Paraguay","-23.442503","-58.443832"
"56","Peru","-9.189967","-75.015152"
"57","Philippines","12.879721","121.774017"
"58","Poland","51.919438","19.145136"
"59","Portugal","39.399872","-8.224454"
"60","Romania","45.943161","24.96676"
"61","Senegal","14.497401","-14.452362"
"62","Singapore","1.352083","103.819836"
"63","Slovak Republic","48.669026","19.699024"
"64","Slovenia","46.151241","14.995463"
"65","South Africa","-30.559482","22.937506"
"66","Spain","40.463667","-3.74922"
"67","Sri Lanka","7.873054","80.771797"
"68","Sweden","60.128161","18.643501"
"69","Switzerland","46.818188","8.227512"
"70","Thailand","15.870032","100.992541"
"71","Tunisia","33.886917","9.537499"
"72","Turkey","38.963745","35.243322"
"73","Uganda","1.373333","32.290275"
"74","Ukraine","48.379433","31.16558"
"75","United Kingdom","55.378051","-3.435973"
"76","Uruguay","-32.522779","-55.765835"
"77","Vietnam","14.058324","108.277199"
